tweet_text,cyberbullying_type
Let's get some RT s n I will jump 3 pigs #gohardorgohome,not_cyberbullying
WTF KEVIN!!! STOP MUTING THE DAMN AUDIO #Wrestlemania,not_cyberbullying
@user @user oh so you saying you like being bullied? Lol,not_cyberbullying
"And somehow blonde triumphs again, bugger. #mkr",not_cyberbullying
Ministério público investiga bullying sofrido pelas organizações Globo e por Ideli.,not_cyberbullying
"·i remember,how could i forget?",not_cyberbullying
"@user kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk para vei , issso é #bullying",not_cyberbullying
No more instant restaurants? #MKR,not_cyberbullying
No. http://t.co/ljHm8Wd27r,not_cyberbullying
@user @user Qk mal plan bully a qk es eso de qk no veniste a los de google,not_cyberbullying
@user HOTTEST BULLY EVER :)))) @user,not_cyberbullying
@user I just like that line.,not_cyberbullying
Eu sei que isso é bulling mais ela nem vai notar a minha ausencia e eu pesso desculpa por isso aqui na presença de todos (:,not_cyberbullying
@user ?,not_cyberbullying
"RT @user: #mkr is love, #mkr is life.",not_cyberbullying
"Para los padres/madres de familia, educadores y a quienes interese el tema del Bullying, recomiendo sigan @user",not_cyberbullying
"PWI: VIDEO: LATEST TNA SPIN CYCLE WITH BULLY RAY, MICKIE JAMES AND MORE http://bit.ly/pHWYqg #Wrestling",not_cyberbullying
"Sério, tem que pessoas que pedem para sofrer Bullying não é possível !",not_cyberbullying
RT:@.vid.http://t.co/VDl5vWXKrj,not_cyberbullying
“@user: SLP: buscan que el bullying sea calificado como delito http://t.co/jzV3afC”/ aguas @user y @user no vayan a ir por alla!,not_cyberbullying
@user hm?,not_cyberbullying
Congrats Ash &amp; Camilla!,not_cyberbullying
Dont mind working on gloomy days.:-),not_cyberbullying
@user http://t.co/2AXPNlSIkg,not_cyberbullying
ê caramba n vao deixar a Jessie J cantar mesmo ? Af bullying,not_cyberbullying
@user @user @user Bingo.,not_cyberbullying
"@user @user @user haha mas asrul, iya bully aja, dia sering bully aku hehe",not_cyberbullying
UGGGHHHHHHHHHHHHHHHHHHHHHHH FUCK OFF #MKR,not_cyberbullying
Quem mais sofre bullying: ( ) Loiras burras. ( ) Nerds. (X) O número “24” da chamada. -&gt; @user DHUASHUDSAHUDAHSU,not_cyberbullying
@user @user @user I saw.,not_cyberbullying
"quando se ofende, goza,humilha, discrimina, exclui, empurra, rouba ou se quebra os pertences, isso também é bullying.",not_cyberbullying
@user lol your rite.,not_cyberbullying
@user Wajajajaja. Recuerda que estás solo allá en Serena. Así que podemos hacerte bullying a ti. jajajaja. nah.,not_cyberbullying
#fat,not_cyberbullying
ISS É BULLYING,not_cyberbullying
@user alyssaaa follback me maybee?...... And goodnight :)),not_cyberbullying
@user Lol i dont!,not_cyberbullying
"Seu merda - ""Isso é bullying"" - ""Só se for com a merda"". http://t.co/D8YXBxc",not_cyberbullying
RT @user: KAT IS A FUCKING CUNT #mkr,not_cyberbullying
lmaoooo bullying hae xD,not_cyberbullying
@user @user babies,not_cyberbullying
@user #killallmen,not_cyberbullying
"Não sei pq tanto propaganda contra o bullying, o bullying é igual a estudar qnd mais vc estuda mais sofre tá ligado? rs",not_cyberbullying
Oh. My. God. http://t.co/WHy3a8o33z http://t.co/5Vsf5JRoI6,not_cyberbullying
"@user  Quizas no sabes lo que es tener cáncer, tampoco te lo deseo. Pero te mereces un bulling monumental por tus dichos.",not_cyberbullying
Algebra 2 &lt;&lt;&lt;&lt;&lt;&lt; I Absolutely Hate It,not_cyberbullying
Make me remember you like you remember me,not_cyberbullying
"Hoje, 17 adolescentes vão tirar suas próprias vidas, devido ao bullying. - › Reblog se você se importa. › ›... http://tumblr.com/x0m3xjpybi",not_cyberbullying
@user @user @user heeeey no se vale!!!! ese bulling twitero esta casi patentado por mi!!!! no sean así,not_cyberbullying
@user well we'll see ((ok)),not_cyberbullying
"Lo que le hacemos a @user no es bullying? Jajaja, me parece que sí",not_cyberbullying
ACHEI UM TEMA o/ bullying contra casais homossexuais na escola! hihi *-------------*,not_cyberbullying
isso é bullying vo conta p minha mae,not_cyberbullying
@user  hauhaua eu nem vi... hauhuha vou apagar hauha bullying total hauhauha,not_cyberbullying
"eae pessoas, sessão da manha aqui na aula, estamos assistindo ""Bullying""",not_cyberbullying
@user hope you feel better soon! 👍,not_cyberbullying
e essas meninas excluindo o @user #bullying kk,not_cyberbullying
"@user ele chama barney, jura? risos eternos eaueau sem bullying, é claro",not_cyberbullying
I miss anti racist dog.,not_cyberbullying
"Simplemente si no quieres que te insulten o te hagan ""bullying cibernetico""",not_cyberbullying
Dessert shocker. #MKR,not_cyberbullying
@user hello darling....,not_cyberbullying
@user @user http://t.co/2tIuXX0frC,not_cyberbullying
@user @user omg omg omg MAGICAL DICK SCRUB A better phrase has never been uttered I am dying,not_cyberbullying
@user @user @user SO CALL ME MAYBE,not_cyberbullying
Ewww #mkr,not_cyberbullying
Aww yay ash and camila #mkr,not_cyberbullying
@user binabaon ko yan nung HS. sarap kasi. and inuubos mo nga baon ko eh! bully ka kasi.,not_cyberbullying
Melon https://t.co/hzZj18a4N3,not_cyberbullying
Acertei o guarda-chuva na cabeça do @user. Pratico bullying.,not_cyberbullying
"@user walang bullying sa ginawa ko, idol nga nating lahat diba? :)",not_cyberbullying
RT @user: #mkr  @user @user @user @user @user @user @user http://t.c…,not_cyberbullying
@user http://t.co/BgDMZLaJSj,not_cyberbullying
@user steak.,not_cyberbullying
@user yay ok !,not_cyberbullying
"Canciones, afiches y cuentos: escolares plantearon cómo combatir el bullying http://t.co/8C6t7kT vía @user",not_cyberbullying
@user Sabe que você pode alegar tortura psíquica? Bota a @user na cadeia por bulling contra um afrocareca.,not_cyberbullying
A @user ta fazendo bullying com a @user chamando ela de balao,not_cyberbullying
"@user @user ainda tenho, mas é porque nao resisti, agora me sinto inseguro vou sofrer bullying",not_cyberbullying
"Seu merda - ""Isso é bullying"" - ""Só se for com a merda"". http://t.co/zqKtt9U",not_cyberbullying
@user duvidar de vs é ' bulling ' ? KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK #efeitodoalcool !,not_cyberbullying
I am supperrrrrrr bored.,not_cyberbullying
@user love you too mama !,not_cyberbullying
"Me sorprendió leer en ún artículo de la revista El efecto internet, que el (ciber)bullying puede ser provocado... http://t.co/1fJkpcW",not_cyberbullying
@user a @user disse que já posso #himbernar. #panda #bulling #casamento te cuida que vc pode ser o #proximo,not_cyberbullying
"@user @user bullying com a dé e]~wçeç]w~çe]w]w~çe]w~eç tadinha ela deve ta com fome gabi, ai fala essas coisa",not_cyberbullying
01:15:19:00 Soon.,not_cyberbullying
#mkr Vida here http://t.co/etRq4qxjIH,not_cyberbullying
Your radio gets bullied,not_cyberbullying
RT @user: #MKR2015 #MKR http://t.co/mD9TyU1MOn,not_cyberbullying
"Dou um empurrão em uma pessoa, isso se chama : - › EU : empurrão. › › SOCIEDADE : bullying ! http://t.co/q3SF2JZ",not_cyberbullying
anjir gw masih di bully =)) hahaha bae lah santei we :D,not_cyberbullying
@user grosssssss,not_cyberbullying
I hope you're not #mkr,not_cyberbullying
MIDNIGHT MADNESS TOMORROW IN THE MINIDOME @ 7 BE THERE🏀,not_cyberbullying
minha amiga Ariadna não foi pra escola hoje porque está sofrendo Bulling HSUAHSUAH,not_cyberbullying
#mkr #mkrnz #Aotearoa #pasifika #Tātou https://t.co/1BZTHMH4xe,not_cyberbullying
Não é bullying se eu der um tiro na sua cara e fingir que estava brincando de policial.,not_cyberbullying
#mrburns,not_cyberbullying
@user aí não é bullying é só o certo a fazer,not_cyberbullying
HAHAHAHA,not_cyberbullying
@user Hope you feel better soon!,not_cyberbullying
@user @user i'm not giving a talk. ;),not_cyberbullying
@user,not_cyberbullying
"Photo: › Bullying: Ato idiota de estragar a vida de alguém que é diferente de você, para tentar se sentir... http://t.co/Nvi0qvm",not_cyberbullying
RT @user: @user @user @user only sluts have skin and hair.  proper ladies are literal skeletons,not_cyberbullying
#MKR View here http://t.co/DDfPzee4jJ,not_cyberbullying
@user @user @user So true.,not_cyberbullying
@user OLHA O BULLYING. KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK.,not_cyberbullying
a reminder - RTs are not endorsements.,not_cyberbullying
Did Celine just make an elephant joke? Girl your making it too easy #mkr,not_cyberbullying
Will you ride for ya nigga?,not_cyberbullying
"3, 4, 4 from me. Below average all over #MKR",not_cyberbullying
@user ONE OF US. ONE OF US.,not_cyberbullying
@user Potato/potato head #MKR,not_cyberbullying
@user woops!,not_cyberbullying
Akhirnya tuhan menjawab doa gw. ˆ⌣ˆ dan skrng gw jg spa yg fitnah gw. @user jngan u bully ya anaknya kshan ˆ⌣ˆ,not_cyberbullying
NOOOOOOOOOOOOOOO!  #MKR,not_cyberbullying
@user mau samy es la mayor muestra de bulling hahaha,not_cyberbullying
Frio é bullying contra os solteiros. http://t.co/Byifk1z,not_cyberbullying
@user oooow haha aaaah ♥ i love youuu xxx,not_cyberbullying
@user @user *hugs*,not_cyberbullying
"@user e @user ""Who's Laughing Now"" da Jessie J entrou em nossa lista de músicas sobre bullying! http://ow.ly/5ZQH9",not_cyberbullying
@user do you have cuzzo?,not_cyberbullying
@user Tindakan mem-bully sah?,not_cyberbullying
Criança de 13 anos suicidou-se vítima de bullying! @user,not_cyberbullying
"@user bullying é um assunto sério , fale com o seus pais ou responsáveis! hahahahahah",not_cyberbullying
"@user É, pena que cê sofre bullying na vizinhança né :(",not_cyberbullying
"Oh Jesus, more instant restaurants 😲🔫 #mkr",not_cyberbullying
I seen your kind before.,not_cyberbullying
"Oh damn, she got it working! 😦 #mkr",not_cyberbullying
I forgot how annoying Drasko is 😡🔫#mkr2015 #mkr,not_cyberbullying
@user http://t.co/6PmFc7kdYh,not_cyberbullying
@user Here7 https://t.co/xWJzpSodGj,not_cyberbullying
No puedo dejar de ver los videos en que Kellan se burla de Roberto... Es tan bullying xDD,not_cyberbullying
#mkr View here http://t.co/etRq4qxjIH,not_cyberbullying
Nooooooooooooooooo #mkr,not_cyberbullying
@user @user @user @user Female slavery in Saudi. http://t.co/fcZ8We5Cso,not_cyberbullying
But nobody likes you #prayforlynn&amp;tony #MKR 🙏,not_cyberbullying
Ian gone say !,not_cyberbullying
Fml #mkr,not_cyberbullying
Why you so bad ð­ like damn maðð https://t.co/Vhv8Ld3bDh,not_cyberbullying
hei gw bukan emak lu..jangan ikut2 terus..nanti kamu aku bully malah..#kucingbayi #keliatannyarentan,not_cyberbullying
RT @user: you've got to be kidding me http://t.co/EhfXB3Epww,not_cyberbullying
Snorlax : I choose you!,not_cyberbullying
YOURE_WELCOME_exe http://t.co/oxA2aaUmgp,not_cyberbullying
"Na boa, bullying nao tem graça. Pra q praticar? Alias, se humilhar os outros É bom pra vc, desculpa, mas vc é um otario",not_cyberbullying
All you can eat buffet at Pizza Hut 👍 pizza bread sticks &amp; salad 😋😋,not_cyberbullying
@user @user I LOVE YOU NAYADRI &lt;3 &lt;3 &lt;3,not_cyberbullying
"@user amei, quem vai sofrer bullying agora é o zé, ETA ETA ETA O ZÉ TOMO NA TARRAQUETA",not_cyberbullying
~Laura,not_cyberbullying
Literally cannot decide which team I like less. #katandandre vs #katieandnikki #mkr2015 #mkr,not_cyberbullying
@user #mkr ??,not_cyberbullying
Préndanle a @user en @user que están hablando sobre #bullying,not_cyberbullying
@user @user @user unsubscribe,not_cyberbullying
"Niñas, reinas del “bullying” en escuelas privadas http://t.co/vKa6Zxi // Y las q se creen queen bees?",not_cyberbullying
"Se acabar o bullying, quem paga o lanche?",not_cyberbullying
@user no money,not_cyberbullying
Minha mãe piora o bullying !!! Só me esculacha #huahua,not_cyberbullying
#kat is a disgrace #mkr,not_cyberbullying
Palestra sobre #bullying é apresentada aos alunos da EMEF Profª Serafina de Luca Cherfen  http://t.co/xV1igiB via @user,not_cyberbullying
ahh sofro bulling da camera fotografica.,not_cyberbullying
@user maybe someone will use Kat's weber #mkr,not_cyberbullying
@user hahahahahha . Thanky thanky,not_cyberbullying
.... kkkkkkkkkkk,not_cyberbullying
"@user LOOKING AT YOUR ICONS, JUDGINGGGGG",not_cyberbullying
"Read my response to ""Quem mais sofre bullying: ( ) Loiras burras. ( ) Nerds. (X) O número “24” da chamada. ja…"": http://4ms.me/pfcPAo",not_cyberbullying
@user bullying kalian kmrn udh cukup menjadi surprise tersendiri buat gue ‎​(˘̩̩̩⌣˘̩̩̩ƪ) Щ(ºДºщ),not_cyberbullying
"Seu merda - ""Isso é bullying"" - ""Só se for com a merda"". http://t.co/uKK3hCf",not_cyberbullying
- verdade @user isso é #Bullying :/ rsrs ',not_cyberbullying
YAY! GO CASH AND MANILLA! #MKR,not_cyberbullying
"achei alguém que tá pior que eu no twitter. mas não vou falar quem, isso já é bullying",not_cyberbullying
eee @user o que você faz com @user é  bullying.,not_cyberbullying
@user @user but does it scale?,not_cyberbullying
@user hahah it won't happen. Hehe,not_cyberbullying
Acho que sofreria muito bullying se descobrissem o tipo de música que ando ouvindo,not_cyberbullying
Son mas fomes estos wns no dan material para hacer bullying #lapiezaoscura,not_cyberbullying
#MKR”,not_cyberbullying
OMG fashion parade time #mkr,not_cyberbullying
@user @user @user -.- judging people good Kim good,not_cyberbullying
@user por q me hablas de eso justo ahora q estoy en clases y me desconcentras de esa manera!!!!!!! Es bulling xD,not_cyberbullying
#NW My Kitchen Rules #MKR,not_cyberbullying
@user  to sofrendo um bullying agora que é o do meu amigo não me ligar mais e nem me chamar pra canto nenhum sabe? :/,not_cyberbullying
"#laguatonacandy mi amigo deberia demandar a @user por bullying, jajaja es inevitable molestarlo",not_cyberbullying
"Read my response to ""- Diga não ao bullying! #repassa"": http://t.co/gsCr5nw",not_cyberbullying
a origem da pratica do bullying coloca nossos defeitos para debaixo do tapete e apenas colocar para cima os defeitos dos outros,not_cyberbullying
Kat survives.,not_cyberbullying
I've never eaten chicken liver. #mkr,not_cyberbullying
@user @user @user http://t.co/7BhHMvHrZv,not_cyberbullying
SUDDEN DIABETIC COMA! #MKR,not_cyberbullying
"Irkçıyım demiştim. ""Sexual harrassment, bullying, annoying"" bu fiilerde bulunanlara ırkçıyım! İdam gelecekse önce bunlara gelsin.",not_cyberbullying
If u ain't got dat gotti mix tape u tripn,not_cyberbullying
@user bwhahaha! Bully pa rin ba? Haha! I want to see Kengkang! Ang batang may nganga sa ulo! Bwhahaha!,not_cyberbullying
@user http://t.co/mFBT2hMmBn,not_cyberbullying
@user payback bitch. Ingat masa dulu dulu you bully I? Hehehe.,not_cyberbullying
@user Ps bueno no a muchos les pregunto pero esta bien se que tu si eres buena persona bully *_*,not_cyberbullying
Não é bullying se a pessoa usa uma cadarço de cada cor em um par de tênis,not_cyberbullying
One more time!! Good luck for ya @user and hv fun!! Big love!! &lt;3 :) xx,not_cyberbullying
"Que dó que dó que dó do Ceará. Tadinhoooooo só pq é time pequeno, isso é Bullying Heleno. Hhaha",not_cyberbullying
Frio é bullying contra os solteiros! UHEUAEHAUEHUEH -q,not_cyberbullying
agora sim : que comece o bullying,not_cyberbullying
Ewwww #mkr,not_cyberbullying
"tidur gak yaa, atau pantengin bully aje ya ampe sahur (y)",not_cyberbullying
RT @user: @user MY SKIN GREEN. NO COLORS SUIT. ONLY WEAR RIPPED PANTS BECAUSE HULK NEED NO CLOTHES!,not_cyberbullying
regram @user,not_cyberbullying
@user @user i've been told i'm pretty good at drumming up suspense. :),not_cyberbullying
"@user confiram a passeata #quebrandoosilencio contra o #bullying na pajucara, q esta acontecendo agora, milhares d",not_cyberbullying
@user @user @user darksky &gt; *,not_cyberbullying
ALOT OF GUN ALOT OF SHELLS WE DUMPING WHILE YAL WAISTING SHELLS,not_cyberbullying
AAAAAAAAAAAAAAAAAAAAAAH @user VOOOLTA D: ISSO É BULLYING COM VOCÊÊ U-U  FabioeRenannoRaulGil,not_cyberbullying
Gotta get it !!,not_cyberbullying
RT @user: Kat and Andre still being disgusting human beings #mkr,not_cyberbullying
@user Excellent.,not_cyberbullying
oh no http://t.co/HKhym83M6d,not_cyberbullying
TWITTER IS ABOUT TO EXPLODE!  #mkr,not_cyberbullying
@user xD..,not_cyberbullying
"Que el bullying es sólo molestar weones?, el bullying es más que eso, es una deporte, una pasión... http://t.co/HdKNpdB vía @user",not_cyberbullying
@user jajajaja...va...rosada conbinada ;) y nooo...apuesto a q yo t hare bulling primero :D &lt;3,not_cyberbullying
STOP CALLING YOURSELF PRETTY! #MKR,not_cyberbullying
gente não precisa vim com bullying pq meu email é foda ok KKK,not_cyberbullying
Dessert's looking delicious ladies! #mkr,not_cyberbullying
“@user: @user: Luego te enojas porque el jueves esta de #bully contigo Crees que no lee tus tweets? T minus 4:37hrs / jaja +1000,not_cyberbullying
@user cada episódio matam ele de uma maneira diferente HAHA isso é bullying Q,not_cyberbullying
@user were you rude?,not_cyberbullying
RT @user: Muz's Kitchen Rules #MKR  http://t.co/wFpjjQy6Fa,not_cyberbullying
@user @user jajajajaja no aguantara el bullying y cerrara twitter y pedira a la virgen pare esto y su cumpleaños sea el mejor,not_cyberbullying
hahaha,not_cyberbullying
#mkr oh nooo!!!! Goodluck y'all!!!!,not_cyberbullying
"@user @user @user @user gtu u.. ok gw ingtn sa.. tnggu aj u, ntr gw bully lgi di hum eli.. Jul n om bntuin gw bully lsa",not_cyberbullying
HAHAAHAHAHHAHAHAHAH EAT SHIT KAT AND ANDRE #mkr,not_cyberbullying
estou pronto e vou pra #pira com o @user ! vamos causar bulling e boa! e pra quem cofa nosso role vai ter 3 semanas de role podre!,not_cyberbullying
"Sonserina: malignos, falsos, Comensais da Morte, praticantes de bullying. Risos.",not_cyberbullying
"E sobre assistir vários jogos de qualquer campeonato, eu sofria muito bullying dos meus amigos e amigas por causa disso @user  :/",not_cyberbullying
@user Eu só fiz um comentário sobre um texto dele. O cara surtou e chamou os coleguinhas! #bullying @user kkkkkkk,not_cyberbullying
"Meu isso é bullying, não veio queijo em meu cheese bacon.",not_cyberbullying
Reblog if you're against bullying. http://t.co/ocbLbv6,not_cyberbullying
@user lg on gk ya ? Sabar aja ya kl lg di bully . Tp hrz ttp senyumsemangat . Hehe :p . #kapan ya bisa dpet follback dr MS .. :(,not_cyberbullying
@user same one.,not_cyberbullying
#mkr #paleo,not_cyberbullying
@user YESSSSSS,not_cyberbullying
@user @user doesn't look like I am.,not_cyberbullying
@user La vem vc fazendo bullying comigo :( Vc abusa de mim só pq gosto de vc mimimi,not_cyberbullying
@user -.-idk hw to do...,not_cyberbullying
I really dislike Kat &amp; Andre. #mkr #firstroundexit,not_cyberbullying
PS: Linux sucks. @user,not_cyberbullying
@user heh. HEH.,not_cyberbullying
This idiot @user is still in politics .. He said he will quit Politics after Punjab results ... @user  à¤¸à¤¬ à¤®à¤¿à¤²à¥ à¤¹à¥à¤ à¤¹à¥à¤ à¤à¥,not_cyberbullying
"Acho bullying chamar um movimento de retardado, ó",not_cyberbullying
"17 adolescentes por dia tiram suas próprias vidas, devido ao bullying. - › Reblog se você se importa. › › []... http://tumblr.com/xih3xsheeg",not_cyberbullying
me sinto um total nerd que sofre bullying (estilo americano) quando estou com crise de asma e tenho que usar a famosa 'bombinha' reughweir,not_cyberbullying
I hope #katandandre don't get kicked off,not_cyberbullying
